date,open,close,high,low,volume,amount,turnover
2025-01-02,70.37,66.6,70.84,66.11,167425,1153350246.0,2.83
2025-01-03,66.26,63.02,67.23,63.01,157794,1032443144.0,2.67
2025-01-06,61.89,61.37,63.74,60.81,117290,736801204.0,1.99
2025-01-07,63.36,64.81,65.66,62.99,154544,1001758373.0,2.62
2025-01-08,64.3,64.36,65.24,61.92,128552,829216451.0,2.18
2025-01-09,63.39,67.42,68.96,63.39,185739,1247144343.0,3.14
2025-01-10,66.31,65.29,67.91,65.27,117963,792597579.0,2.0
2025-01-13,66.36,64.08,67.23,63.94,95773,626526494.0,1.62
2025-01-14,63.97,67.04,67.04,63.89,135954,903957700.0,2.3
2025-01-15,66.73,65.94,67.26,65.77,80970,541706039.0,1.37
2025-01-16,66.29,65.51,66.92,65.34,82562,549859214.0,1.4
2025-01-17,65.98,68.76,70.88,65.25,186513,1282145984.0,3.16
2025-01-20,69.49,71.6,72.67,69.41,160918,1152410443.0,2.72
2025-01-21,72.16,71.16,72.22,69.56,115390,823236538.0,1.95
2025-01-22,71.07,69.62,71.07,68.56,92052,645018795.0,1.56
2025-01-23,69.7,67.32,70.74,67.26,127115,884456915.0,2.15
2025-01-24,67.36,67.89,69.05,66.72,97167,666650743.0,1.64
2025-01-27,67.89,65.36,68.35,65.18,100449,672784410.0,1.7
2025-02-05,65.76,64.93,65.88,63.86,87329,573351381.0,1.48
2025-02-06,65.24,69.22,69.36,64.66,172047,1171055137.0,2.91
2025-02-07,69.22,69.47,70.45,68.16,153114,1069141526.0,2.59
2025-02-10,69.48,70.26,71.31,69.29,132033,937435444.0,2.23
2025-02-11,70.37,69.36,71.16,69.1,102523,723596723.0,1.74
2025-02-12,68.86,70.06,70.11,68.79,89251,626533899.0,1.51
2025-02-13,70.29,71.66,72.73,69.47,196021,1407593329.0,3.32
2025-02-14,71.25,71.54,73.34,70.43,163596,1181995873.0,2.77
2025-02-17,73.34,67.37,73.34,64.37,175373,1210993744.0,2.97
2025-02-18,67.36,63.38,67.37,63.0,179543,1179027809.0,3.04
2025-02-19,62.36,65.26,66.46,62.36,126572,828907773.0,2.14
2025-02-20,64.6,64.86,65.36,63.58,111606,726233460.0,1.89
2025-02-21,64.36,65.16,66.02,63.98,123829,811377548.0,2.1
2025-02-24,65.42,64.16,65.42,63.86,101962,661884158.0,1.73
2025-02-25,63.36,63.18,63.96,63.15,87966,564475728.0,1.49
2025-02-26,63.25,62.83,63.46,62.51,87805,557275641.0,1.49
2025-02-27,62.83,62.17,63.79,61.36,99117,625869849.0,1.68
2025-02-28,61.61,60.56,62.07,60.56,97672,603880834.0,1.65
2025-03-03,61.21,59.27,61.33,58.72,121139,733884616.0,2.05
2025-03-04,59.28,62.35,63.05,59.18,163679,1017914788.0,2.77
2025-03-05,61.36,61.75,62.23,61.11,84677,527049833.0,1.43
2025-03-06,61.74,62.35,62.66,61.39,91637,575498455.0,1.55
2025-03-07,61.96,63.04,64.8,61.58,147773,949231451.0,2.5
2025-03-10,62.96,62.59,64.54,62.4,80438,514688371.0,1.36
2025-03-11,61.61,63.42,63.95,61.39,86517,550600314.0,1.46
2025-03-12,63.26,62.58,63.96,62.36,91387,580411908.0,1.55
2025-03-13,62.52,61.51,62.74,61.16,63485,396102966.0,1.07
2025-03-14,61.36,61.9,62.27,60.94,65947,410716674.0,1.12
