2025-08-08 11:10:16,546 [INFO] fetch_kline.py:82 筛选得到 3259 只股票
2025-08-08 11:10:16,548 [INFO] fetch_kline.py:331 开始抓取 3259 支股票 | 数据源:akshare | 频率:day | 日期:20250101 → 20250808
2025-08-08 11:10:27,919 [WARNING] fetch_kline.py:164 AKShare 拉取 002250 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:27,922 [WARNING] fetch_kline.py:164 AKShare 拉取 002249 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:27,975 [WARNING] fetch_kline.py:164 AKShare 拉取 002251 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:27,981 [WARNING] fetch_kline.py:164 AKShare 拉取 002252 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:27,983 [WARNING] fetch_kline.py:164 AKShare 拉取 002263 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:27,985 [WARNING] fetch_kline.py:164 AKShare 拉取 002261 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:27,986 [WARNING] fetch_kline.py:164 AKShare 拉取 002262 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:27,992 [WARNING] fetch_kline.py:164 AKShare 拉取 002258 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:27,996 [WARNING] fetch_kline.py:164 AKShare 拉取 002254 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:27,996 [WARNING] fetch_kline.py:164 AKShare 拉取 002255 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:29,304 [WARNING] fetch_kline.py:164 AKShare 拉取 002251 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:29,314 [WARNING] fetch_kline.py:164 AKShare 拉取 002258 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:29,413 [WARNING] fetch_kline.py:164 AKShare 拉取 002254 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:29,527 [WARNING] fetch_kline.py:164 AKShare 拉取 002250 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:29,602 [WARNING] fetch_kline.py:164 AKShare 拉取 002252 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:29,668 [WARNING] fetch_kline.py:164 AKShare 拉取 002263 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:29,757 [WARNING] fetch_kline.py:164 AKShare 拉取 002261 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:29,758 [WARNING] fetch_kline.py:164 AKShare 拉取 002249 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:29,812 [WARNING] fetch_kline.py:164 AKShare 拉取 002255 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:29,912 [WARNING] fetch_kline.py:164 AKShare 拉取 002262 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:31,920 [WARNING] fetch_kline.py:164 AKShare 拉取 002258 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:32,072 [WARNING] fetch_kline.py:164 AKShare 拉取 002254 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:32,396 [WARNING] fetch_kline.py:164 AKShare 拉取 002261 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
